"species","dd long","dd lat"
"Beech_Bark_Disease",-79.694913,38.576098
"Beech_Bark_Disease",-71.309242,43.195378
"Beech_Bark_Disease",-71.350579,43.893468
"Beech_Bark_Disease",-75.543727,45.407249
"Beech_Bark_Disease",-71.88112,43.306972
"Beech_Bark_Disease",-70.292488,43.847286
"Beech_Bark_Disease",-72.545676,42.735371
"Beech_Bark_Disease",-71.881072,43.307003
"Beech_Bark_Disease",-69.925964,43.815281
"Beech_Bark_Disease",-72.816711,44.597824
"Beech_Bark_Disease",-80.212351,43.543148
"Beech_Bark_Disease",-83.439261,39.271522
"Beech_Bark_Disease",-82.907123,40.391873
"Beech_Bark_Disease",-63.333463,46.211312
"Beech_Bark_Disease",-74.426511,40.668885
"Beech_Bark_Disease",-80.489762,43.392638
"Beech_Bark_Disease",-71.39915,46.93203
"Beech_Bark_Disease",-72.487637,44.16203
"Beech_Bark_Disease",-71.203953,45.473544
"Beech_Bark_Disease",-76.452579,42.475041
"Beech_Bark_Disease",-71.708612,42.826466
"Beech_Bark_Disease",-70.681847,41.94247
"Beech_Bark_Disease",-69.071014,45.962433
"Beech_Bark_Disease",-78.769005,40.215703
"Beech_Bark_Disease",-71.568995,41.632999
"Beech_Bark_Disease",-80.129242,43.351392
"Beech_Bark_Disease",-79.720272,44.342709
"Beech_Bark_Disease",-79.728392,44.347571
"Beech_Bark_Disease",-74.522606,40.701964
"Beech_Bark_Disease",-74.539635,40.759781
"Beech_Bark_Disease",-72.48568,42.377122
"Beech_Bark_Disease",-63.111514,46.278245
"Beech_Bark_Disease",-72.721173,42.873396
"Beech_Bark_Disease",-74.487332,40.727387
"Beech_Bark_Disease",-79.286538,43.08905
"Beech_Bark_Disease",-73.632278,41.107467
"Beech_Bark_Disease",-69.30282,44.38924
"Beech_Bark_Disease",-75.629193,45.490847
"Beech_Bark_Disease",-72.289506,41.334774
"Beech_Bark_Disease",-74.522888,40.702022
"Beech_Bark_Disease",-75.793095,45.320687
"Beech_Bark_Disease",-72.307071,41.381277
"Beech_Bark_Disease",-74.521222,40.699922
"Beech_Bark_Disease",-64.442011,45.055949
"Beech_Bark_Disease",-64.540528,44.236963
"Beech_Bark_Disease",-71.668288,44.055406
"Beech_Bark_Disease",-71.498558,43.559213
