"species","dd long","dd lat"
"Beech_Leaf_Disease",-81.410713,41.134336
"Beech_Leaf_Disease",-71.879738,42.699571
"Beech_Leaf_Disease",-74.780897,40.428003
"Beech_Leaf_Disease",-75.014489,40.785875
"Beech_Leaf_Disease",-74.639245,40.6988
"Beech_Leaf_Disease",-71.30423,42.249858
"Beech_Leaf_Disease",-73.210854,41.54718
"Beech_Leaf_Disease",-81.457787,41.335991
"Beech_Leaf_Disease",-74.498534,40.402807
"Beech_Leaf_Disease",-75.20185,41.307842
"Beech_Leaf_Disease",-70.524167,41.689594
"Beech_Leaf_Disease",-70.53884,41.679938
"Beech_Leaf_Disease",-70.523851,41.690333
"Beech_Leaf_Disease",-74.026839,41.514795
"Beech_Leaf_Disease",-70.524146,41.687376
"Beech_Leaf_Disease",-74.552759,40.746406
"Beech_Leaf_Disease",-71.095852,42.199916
"Beech_Leaf_Disease",-74.515379,40.69546
"Beech_Leaf_Disease",-74.635537,40.703787
"Beech_Leaf_Disease",-80.357333,43.38363
"Beech_Leaf_Disease",-74.478889,40.419843
"Beech_Leaf_Disease",-75.204087,41.306563
"Beech_Leaf_Disease",-72.183435,42.530457
"Beech_Leaf_Disease",-74.477644,40.419092
"Beech_Leaf_Disease",-74.573934,40.595883
"Beech_Leaf_Disease",-74.516105,40.824528
"Beech_Leaf_Disease",-71.1664,42.469863
"Beech_Leaf_Disease",-73.743085,40.745404
"Beech_Leaf_Disease",-71.082402,42.46604
"Beech_Leaf_Disease",-74.462128,40.799358
"Beech_Leaf_Disease",-74.461937,40.799063
"Beech_Leaf_Disease",-74.73397,40.810478
"Beech_Leaf_Disease",-74.611533,40.765903
"Beech_Leaf_Disease",-74.804688,40.876105
"Beech_Leaf_Disease",-69.262667,44.419769
"Beech_Leaf_Disease",-74.804367,40.876495
"Beech_Leaf_Disease",-72.052029,41.389214
"Beech_Leaf_Disease",-74.461508,40.877197
"Beech_Leaf_Disease",-75.968118,40.639633
"Beech_Leaf_Disease",-71.270089,42.992011
"Beech_Leaf_Disease",-74.416191,40.477008
"Beech_Leaf_Disease",-74.611672,40.765888
"Beech_Leaf_Disease",-74.520154,40.691986
"Beech_Leaf_Disease",-74.611228,40.76012
"Beech_Leaf_Disease",-74.463495,40.81808
"Beech_Leaf_Disease",-74.613967,40.761692
"Beech_Leaf_Disease",-71.270256,42.992369
"Beech_Leaf_Disease",-74.221763,40.517692
"Beech_Leaf_Disease",-79.657344,43.47005
"Beech_Leaf_Disease",-72.002641,41.337785
"Beech_Leaf_Disease",-71.715223,41.624177
