"species","dd long","dd lat"
"Red-necked_Longhorn_Beetle",12.061,47.848
"Red-necked_Longhorn_Beetle",121.433997,31.135731
"Red-necked_Longhorn_Beetle",121.560837,31.214162
"Red-necked_Longhorn_Beetle",121.343086,31.161102
"Red-necked_Longhorn_Beetle",14.346842,40.832883
"Red-necked_Longhorn_Beetle",104.262017,30.894822
"Red-necked_Longhorn_Beetle",135.524954,34.615146
"Red-necked_Longhorn_Beetle",109.712137,31.059234
"Red-necked_Longhorn_Beetle",120.475898,31.349852
"Red-necked_Longhorn_Beetle",118.934588,32.10283
"Red-necked_Longhorn_Beetle",121.462005,30.925173
"Red-necked_Longhorn_Beetle",114.271155,31.180758
"Red-necked_Longhorn_Beetle",118.781045,32.07862
"Red-necked_Longhorn_Beetle",121.34395,31.160503
"Red-necked_Longhorn_Beetle",121.338862,31.163245
"Red-necked_Longhorn_Beetle",118.891588,31.88427
"Red-necked_Longhorn_Beetle",118.734855,32.025825
"Red-necked_Longhorn_Beetle",118.760612,32.037525
"Red-necked_Longhorn_Beetle",118.881978,31.902391
"Red-necked_Longhorn_Beetle",118.95918,32.11579
"Red-necked_Longhorn_Beetle",114.900889,33.433178
"Red-necked_Longhorn_Beetle",108.828613,34.129774
"Red-necked_Longhorn_Beetle",116.196945,40.006569
"Red-necked_Longhorn_Beetle",120.689665,36.363069
"Red-necked_Longhorn_Beetle",112.997732,25.754841
"Red-necked_Longhorn_Beetle",116.195013,39.985972
"Red-necked_Longhorn_Beetle",121.40473,31.335379
"Red-necked_Longhorn_Beetle",117.251781,31.869489
"Red-necked_Longhorn_Beetle",119.485061,32.184502
"Red-necked_Longhorn_Beetle",112.95742,28.199312
"Red-necked_Longhorn_Beetle",106.551103,29.634347
"Red-necked_Longhorn_Beetle",119.070022,30.245325
"Red-necked_Longhorn_Beetle",135.574413,34.447166
"Red-necked_Longhorn_Beetle",139.912721,35.810296
"Red-necked_Longhorn_Beetle",121.439658,31.121492
"Red-necked_Longhorn_Beetle",103.653072,30.65649
"Red-necked_Longhorn_Beetle",135.519126,34.580264
"Red-necked_Longhorn_Beetle",120.631733,36.182869
"Red-necked_Longhorn_Beetle",120.690103,31.65232
"Red-necked_Longhorn_Beetle",135.52191,34.582597
"Red-necked_Longhorn_Beetle",135.511335,34.585027
"Red-necked_Longhorn_Beetle",135.511118,34.585476
"Red-necked_Longhorn_Beetle",135.511339,34.585034
"Red-necked_Longhorn_Beetle",135.510628,34.585322
"Red-necked_Longhorn_Beetle",118.728924,40.195116
"Red-necked_Longhorn_Beetle",120.237816,40.168438
"Red-necked_Longhorn_Beetle",128.4815,35.36083
"Red-necked_Longhorn_Beetle",107.971258,33.671397
"Red-necked_Longhorn_Beetle",117.167782,31.849553
"Red-necked_Longhorn_Beetle",115.870292,39.600447
"Red-necked_Longhorn_Beetle",115.819053,39.607483
"Red-necked_Longhorn_Beetle",120.294593,36.28739
"Red-necked_Longhorn_Beetle",135.508968,34.584899
"Red-necked_Longhorn_Beetle",119.121618,30.216408
"Red-necked_Longhorn_Beetle",135.509798,34.58504
"Red-necked_Longhorn_Beetle",127.276592,37.976941
"Red-necked_Longhorn_Beetle",127.2778,37.978213
"Red-necked_Longhorn_Beetle",103.886045,22.30246
"Red-necked_Longhorn_Beetle",120.689581,31.295124
"Red-necked_Longhorn_Beetle",126.635908,45.72048
"Red-necked_Longhorn_Beetle",115.081122,28.897144
"Red-necked_Longhorn_Beetle",120.622305,31.341363
"Red-necked_Longhorn_Beetle",135.511337,34.58503
"Red-necked_Longhorn_Beetle",135.510815,34.585317
"Red-necked_Longhorn_Beetle",121.499626,31.299404
"Red-necked_Longhorn_Beetle",126.983375,37.551717
"Red-necked_Longhorn_Beetle",127.084144,37.546169
"Red-necked_Longhorn_Beetle",127.08457,37.546352
"Red-necked_Longhorn_Beetle",139.380916,36.135712
"Red-necked_Longhorn_Beetle",116.212585,39.998637
"Red-necked_Longhorn_Beetle",115.963998,42.260674
"Red-necked_Longhorn_Beetle",116.090003,40.053807
"Red-necked_Longhorn_Beetle",139.381363,36.137295
"Red-necked_Longhorn_Beetle",139.37732,36.137358
"Red-necked_Longhorn_Beetle",121.742225,39.088111
"Red-necked_Longhorn_Beetle",139.380194,36.136075
"Red-necked_Longhorn_Beetle",139.378488,36.13152
"Red-necked_Longhorn_Beetle",109.490654,24.34375
"Red-necked_Longhorn_Beetle",120.427872,28.169743
"Red-necked_Longhorn_Beetle",135.736329,34.511117
"Red-necked_Longhorn_Beetle",116.103615,40.068701
"Red-necked_Longhorn_Beetle",116.357379,40.258641
"Red-necked_Longhorn_Beetle",120.682431,36.360822
"Red-necked_Longhorn_Beetle",104.279367,30.573063
"Red-necked_Longhorn_Beetle",118.839961,32.037353
"Red-necked_Longhorn_Beetle",116.210945,40.002295
"Red-necked_Longhorn_Beetle",127.165777,37.757598
"Red-necked_Longhorn_Beetle",126.919657,37.533352
"Red-necked_Longhorn_Beetle",115.729444,31.108333
"Red-necked_Longhorn_Beetle",114.299727,35.74602
"Red-necked_Longhorn_Beetle",116.559224,40.892384
"Red-necked_Longhorn_Beetle",116.206433,39.996286
"Red-necked_Longhorn_Beetle",116.198497,40.005114
"Red-necked_Longhorn_Beetle",116.195226,39.975904
"Red-necked_Longhorn_Beetle",120.80552,40.630125
"Red-necked_Longhorn_Beetle",122.419214,37.381664
"Red-necked_Longhorn_Beetle",116.204886,40.006104
"Red-necked_Longhorn_Beetle",116.086021,40.052549
"Red-necked_Longhorn_Beetle",121.526413,38.925274
"Red-necked_Longhorn_Beetle",126.695596,45.757429
"Red-necked_Longhorn_Beetle",135.740527,34.518727
"Red-necked_Longhorn_Beetle",106.800592,27.759597
"Red-necked_Longhorn_Beetle",116.210752,40.000786
"Red-necked_Longhorn_Beetle",109.413017,34.3741
"Red-necked_Longhorn_Beetle",135.736593,34.510455
"Red-necked_Longhorn_Beetle",116.204533,40.007142
"Red-necked_Longhorn_Beetle",113.12004,34.722138
"Red-necked_Longhorn_Beetle",116.203303,40.009791
"Red-necked_Longhorn_Beetle",139.532104,35.929116
"Red-necked_Longhorn_Beetle",116.376599,40.100143
"Red-necked_Longhorn_Beetle",116.200152,40.017075
"Red-necked_Longhorn_Beetle",121.564908,31.372296
"Red-necked_Longhorn_Beetle",116.075373,40.067351
"Red-necked_Longhorn_Beetle",129.803967,42.854469
"Red-necked_Longhorn_Beetle",118.79415,32.095278
"Red-necked_Longhorn_Beetle",116.198837,40.005283
"Red-necked_Longhorn_Beetle",119.442827,30.316705
"Red-necked_Longhorn_Beetle",123.397634,40.740332
"Red-necked_Longhorn_Beetle",123.394618,40.860617
"Red-necked_Longhorn_Beetle",123.361495,40.719357
"Red-necked_Longhorn_Beetle",112.213682,34.518287
"Red-necked_Longhorn_Beetle",116.213679,39.99616
"Red-necked_Longhorn_Beetle",123.233808,41.781386
"Red-necked_Longhorn_Beetle",120.442169,36.087252
"Red-necked_Longhorn_Beetle",139.309296,35.723339
"Red-necked_Longhorn_Beetle",121.362679,31.21155
"Red-necked_Longhorn_Beetle",123.357775,40.811215
"Red-necked_Longhorn_Beetle",116.208609,39.998105
"Red-necked_Longhorn_Beetle",116.203196,40.009261
"Red-necked_Longhorn_Beetle",121.672194,31.146479
"Red-necked_Longhorn_Beetle",116.468826,35.918503
"Red-necked_Longhorn_Beetle",123.232078,41.782239
"Red-necked_Longhorn_Beetle",108.256861,33.299361
"Red-necked_Longhorn_Beetle",121.402013,31.179578
"Red-necked_Longhorn_Beetle",116.202601,40.009788
"Red-necked_Longhorn_Beetle",116.205167,40.006135
"Red-necked_Longhorn_Beetle",114.376957,38.108354
"Red-necked_Longhorn_Beetle",119.43162,26.725528
"Red-necked_Longhorn_Beetle",121.493422,38.932392
"Red-necked_Longhorn_Beetle",122.209986,29.987486
"Red-necked_Longhorn_Beetle",120.388245,36.115841
"Red-necked_Longhorn_Beetle",118.839607,32.037964
"Red-necked_Longhorn_Beetle",116.213464,40.004963
"Red-necked_Longhorn_Beetle",120.382686,30.315123
"Red-necked_Longhorn_Beetle",115.872078,39.613388
"Red-necked_Longhorn_Beetle",118.809649,32.083307
"Red-necked_Longhorn_Beetle",118.839775,32.037228
"Red-necked_Longhorn_Beetle",118.523459,31.665537
"Red-necked_Longhorn_Beetle",104.320342,30.542413
"Red-necked_Longhorn_Beetle",116.208813,39.929514
"Red-necked_Longhorn_Beetle",121.538382,31.29172
"Red-necked_Longhorn_Beetle",14.155295,40.819878
"Red-necked_Longhorn_Beetle",120.344867,36.06555
"Red-necked_Longhorn_Beetle",114.30525,30.59276
"Red-necked_Longhorn_Beetle",116.166833,40.001775
"Red-necked_Longhorn_Beetle",119.230697,26.089064
"Red-necked_Longhorn_Beetle",120.15515,30.27415
"Red-necked_Longhorn_Beetle",122.436136,37.242903
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",126.918431,37.533075
"Red-necked_Longhorn_Beetle",116.196922,40.006592
"Red-necked_Longhorn_Beetle",108.986389,34.124664
"Red-necked_Longhorn_Beetle",114.432076,30.370824
"Red-necked_Longhorn_Beetle",119.449448,30.35601
"Red-necked_Longhorn_Beetle",113,28
"Red-necked_Longhorn_Beetle",118.471395,35.560813
"Red-necked_Longhorn_Beetle",120.191502,30.224406
"Red-necked_Longhorn_Beetle",121.239044,29.791785
"Red-necked_Longhorn_Beetle",120.021167,30.243416
"Red-necked_Longhorn_Beetle",104.124747,30.658612
"Red-necked_Longhorn_Beetle",114.520948,30.905607
"Red-necked_Longhorn_Beetle",121.51881,31.250843
"Red-necked_Longhorn_Beetle",120.712819,31.62708
"Red-necked_Longhorn_Beetle",117.2503,31.86741
"Red-necked_Longhorn_Beetle",117.065351,37.274158
"Red-necked_Longhorn_Beetle",118.840126,32.037483
"Red-necked_Longhorn_Beetle",121.763271,37.269372
"Red-necked_Longhorn_Beetle",121.527485,31.183121
"Red-necked_Longhorn_Beetle",116.016213,40.3677
"Red-necked_Longhorn_Beetle",113.487218,34.662902
"Red-necked_Longhorn_Beetle",120.277213,30.18438
"Red-necked_Longhorn_Beetle",121.436356,31.252905
"Red-necked_Longhorn_Beetle",117.988981,36.500854
"Red-necked_Longhorn_Beetle",109.514442,30.778783
"Red-necked_Longhorn_Beetle",129.847503,42.966703
"Red-necked_Longhorn_Beetle",127.168439,37.756853
"Red-necked_Longhorn_Beetle",125.3268,43.79727
"Red-necked_Longhorn_Beetle",125.3268,43.79727
"Red-necked_Longhorn_Beetle",116.202435,40.009721
"Red-necked_Longhorn_Beetle",113.8054,35.461632
"Red-necked_Longhorn_Beetle",125.3268,43.79727
"Red-necked_Longhorn_Beetle",125.3268,43.79727
"Red-necked_Longhorn_Beetle",125.3268,43.79727
"Red-necked_Longhorn_Beetle",117.213622,39.113247
"Red-necked_Longhorn_Beetle",117.236476,39.14323
"Red-necked_Longhorn_Beetle",120.401688,36.098372
"Red-necked_Longhorn_Beetle",116.185926,40.359232
"Red-necked_Longhorn_Beetle",117.150093,37.284615
"Red-necked_Longhorn_Beetle",119.980767,30.5455
"Red-necked_Longhorn_Beetle",118.534122,31.70291
"Red-necked_Longhorn_Beetle",116.201036,40.0112
"Red-necked_Longhorn_Beetle",118.50495,31.683073
"Red-necked_Longhorn_Beetle",118.534257,31.699826
"Red-necked_Longhorn_Beetle",116.672458,40.409851
"Red-necked_Longhorn_Beetle",116.166011,39.85827
"Red-necked_Longhorn_Beetle",119.449722,30.35567
"Red-necked_Longhorn_Beetle",119.467432,32.213415
"Red-necked_Longhorn_Beetle",116.145191,40.272151
"Red-necked_Longhorn_Beetle",118.516022,31.65607
"Red-necked_Longhorn_Beetle",115.929803,40.243225
"Red-necked_Longhorn_Beetle",121.622869,31.191633
"Red-necked_Longhorn_Beetle",116.208865,40.000165
"Red-necked_Longhorn_Beetle",118.796438,32.105406
"Red-necked_Longhorn_Beetle",115.427725,38.862383
"Red-necked_Longhorn_Beetle",117.42189,32.890049
"Red-necked_Longhorn_Beetle",118.816497,32.08222
"Red-necked_Longhorn_Beetle",121.579772,31.142597
"Red-necked_Longhorn_Beetle",119.479981,32.187227
"Red-necked_Longhorn_Beetle",113,28
"Red-necked_Longhorn_Beetle",120.195183,30.360725
"Red-necked_Longhorn_Beetle",127.794028,37.843003
"Red-necked_Longhorn_Beetle",119.726464,30.254706
"Red-necked_Longhorn_Beetle",120.133572,30.186117
"Red-necked_Longhorn_Beetle",119.155673,26.132061
"Red-necked_Longhorn_Beetle",119.236235,26.09213
"Red-necked_Longhorn_Beetle",128.825375,36.741611
"Red-necked_Longhorn_Beetle",126.965645,37.747738
"Red-necked_Longhorn_Beetle",118.79647,32.05838
"Red-necked_Longhorn_Beetle",139.530863,36.224897
"Red-necked_Longhorn_Beetle",139.530863,36.224897
"Red-necked_Longhorn_Beetle",139.530863,36.224897
"Red-necked_Longhorn_Beetle",139.530863,36.224897
"Red-necked_Longhorn_Beetle",139.530863,36.224897
"Red-necked_Longhorn_Beetle",116.203947,39.999917
"Red-necked_Longhorn_Beetle",115.688248,39.922957
"Red-necked_Longhorn_Beetle",118.856322,33.699062
"Red-necked_Longhorn_Beetle",114.264708,22.373653
"Red-necked_Longhorn_Beetle",121.558037,31.243283
"Red-necked_Longhorn_Beetle",114.474037,36.55822
"Red-necked_Longhorn_Beetle",119.986138,31.812433
"Red-necked_Longhorn_Beetle",109.41632,36.627742
"Red-necked_Longhorn_Beetle",115.973753,40.482592
"Red-necked_Longhorn_Beetle",115.962455,39.092147
"Red-necked_Longhorn_Beetle",121.471077,31.281899
"Red-necked_Longhorn_Beetle",113.73085,34.788639
"Red-necked_Longhorn_Beetle",121.474033,31.38821
"Red-necked_Longhorn_Beetle",120.473875,36.173686
"Red-necked_Longhorn_Beetle",113.913464,27.145465
"Red-necked_Longhorn_Beetle",118.940278,31.98613
"Red-necked_Longhorn_Beetle",116.211267,39.988883
"Red-necked_Longhorn_Beetle",121.431333,31.625618
"Red-necked_Longhorn_Beetle",120.129257,30.183186
"Red-necked_Longhorn_Beetle",120.129196,30.183155
"Red-necked_Longhorn_Beetle",121.432915,31.030436
"Red-necked_Longhorn_Beetle",121.527472,31.38354
"Red-necked_Longhorn_Beetle",120.160028,30.308437
"Red-necked_Longhorn_Beetle",14.132075,40.87255
"Red-necked_Longhorn_Beetle",121.616753,31.544083
"Red-necked_Longhorn_Beetle",121.210487,31.284508
"Red-necked_Longhorn_Beetle",121.430491,31.625062
"Red-necked_Longhorn_Beetle",121.429428,31.013359
"Red-necked_Longhorn_Beetle",120.372852,36.323321
"Red-necked_Longhorn_Beetle",125.030617,40.197255
"Red-necked_Longhorn_Beetle",125.030617,40.197255
"Red-necked_Longhorn_Beetle",125.030617,40.197255
"Red-necked_Longhorn_Beetle",126.333762,40.017795
"Red-necked_Longhorn_Beetle",126.447934,38.831302
"Red-necked_Longhorn_Beetle",126.333762,40.017795
"Red-necked_Longhorn_Beetle",125.030617,40.197255
"Red-necked_Longhorn_Beetle",126.333762,40.017795
"Red-necked_Longhorn_Beetle",126.333762,40.017795
"Red-necked_Longhorn_Beetle",126.333762,40.017795
"Red-necked_Longhorn_Beetle",126.333762,40.017795
"Red-necked_Longhorn_Beetle",128.407397,37.935161
"Red-necked_Longhorn_Beetle",128.407397,37.935161
"Red-necked_Longhorn_Beetle",128.407397,37.935161
"Red-necked_Longhorn_Beetle",116.183333,39.983333
"Red-necked_Longhorn_Beetle",116.014145,40.361102
"Red-necked_Longhorn_Beetle",136.871023,35.116925
"Red-necked_Longhorn_Beetle",136.871023,35.116925
"Red-necked_Longhorn_Beetle",136.871023,35.116925
"Red-necked_Longhorn_Beetle",136.871023,35.116925
"Red-necked_Longhorn_Beetle",116.079962,40.066244
"Red-necked_Longhorn_Beetle",121.689797,38.896653
"Red-necked_Longhorn_Beetle",12.061,47.848
"Red-necked_Longhorn_Beetle",117.060074,39.094357
"Red-necked_Longhorn_Beetle",118.791968,32.063893
