"species","dd long","dd lat"
"Eight-Toothed_Spruce_Bark_Beetle",17.53122,62.4918
"Eight-Toothed_Spruce_Bark_Beetle",15.63134,62.70294
"Eight-Toothed_Spruce_Bark_Beetle",14.89153,59.45682
"Eight-Toothed_Spruce_Bark_Beetle",16.35427,59.12609
"Eight-Toothed_Spruce_Bark_Beetle",16.94976,59.21937
"Eight-Toothed_Spruce_Bark_Beetle",15.92247,56.73439
"Eight-Toothed_Spruce_Bark_Beetle",24.0994,61.6392
"Eight-Toothed_Spruce_Bark_Beetle",25.82718,61.89125
"Eight-Toothed_Spruce_Bark_Beetle",25.52603,62.22041
"Eight-Toothed_Spruce_Bark_Beetle",25.67386,62.35651
"Eight-Toothed_Spruce_Bark_Beetle",23.12902,60.22386
"Eight-Toothed_Spruce_Bark_Beetle",24.0994,61.6392
"Eight-Toothed_Spruce_Bark_Beetle",13.4124,48.9375
"Eight-Toothed_Spruce_Bark_Beetle",13.1318,49.07
"Eight-Toothed_Spruce_Bark_Beetle",13.4921,48.929699
"Eight-Toothed_Spruce_Bark_Beetle",13.1936,50.515301
"Eight-Toothed_Spruce_Bark_Beetle",11.5543,48.2561
"Eight-Toothed_Spruce_Bark_Beetle",7.805,50.004002
"Eight-Toothed_Spruce_Bark_Beetle",13.4124,48.9375
"Eight-Toothed_Spruce_Bark_Beetle",11.228,48.821999
"Eight-Toothed_Spruce_Bark_Beetle",13.3619,48.945599
"Eight-Toothed_Spruce_Bark_Beetle",8.13539,51.446098
"Eight-Toothed_Spruce_Bark_Beetle",13.2294,49.071201
"Eight-Toothed_Spruce_Bark_Beetle",12.013,47.646999
"Eight-Toothed_Spruce_Bark_Beetle",8.13539,51.446098
"Eight-Toothed_Spruce_Bark_Beetle",5.99,50.401
"Eight-Toothed_Spruce_Bark_Beetle",5.498,50.413
"Eight-Toothed_Spruce_Bark_Beetle",7.124236,49.723881
"Eight-Toothed_Spruce_Bark_Beetle",10.457067,50.973747
"Eight-Toothed_Spruce_Bark_Beetle",17.52832,59.97462
"Eight-Toothed_Spruce_Bark_Beetle",23.666384,54.866571
"Eight-Toothed_Spruce_Bark_Beetle",14.829779,46.796095
"Eight-Toothed_Spruce_Bark_Beetle",55.957855,54.734301
"Eight-Toothed_Spruce_Bark_Beetle",24.995971,67.6199
"Eight-Toothed_Spruce_Bark_Beetle",24.042774,61.949762
"Eight-Toothed_Spruce_Bark_Beetle",24.042774,61.949762
"Eight-Toothed_Spruce_Bark_Beetle",23.82847,60.328328
"Eight-Toothed_Spruce_Bark_Beetle",24.415854,62.047048
"Eight-Toothed_Spruce_Bark_Beetle",12.05402,57.69709
"Eight-Toothed_Spruce_Bark_Beetle",15.74103,59.97964
