"species","dd long","dd lat"
"Gypsy_Moth",9.44491,42.71274
"Gypsy_Moth",9.43446,42.73356
"Gypsy_Moth",2.63825,48.39673
"Gypsy_Moth",9.14426,42.38142
"Gypsy_Moth",2.6625,48.42299
"Gypsy_Moth",2.63383,48.41253
"Gypsy_Moth",4.91442,47.43181
"Gypsy_Moth",2.70809,48.38
"Gypsy_Moth",-1.51106,49.1614
"Gypsy_Moth",2.70809,48.38
"Gypsy_Moth",9.43738,42.73366
"Gypsy_Moth",9.43498,42.71592
"Gypsy_Moth",9.4454,42.73216
"Gypsy_Moth",0.2652,48.51067
"Gypsy_Moth",5.8725,45.59848
"Gypsy_Moth",1.186386,52.779744
"Gypsy_Moth",1.475207,52.681688
"Gypsy_Moth",-80.36,43.609
"Gypsy_Moth",116.392,39.904
"Gypsy_Moth",-79.8744,44.8515
"Gypsy_Moth",72.53,55.13
"Gypsy_Moth",133.15056,44.10167
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",8.66,49.164
"Gypsy_Moth",133.468,44.422
"Gypsy_Moth",-80.226,43.53
"Gypsy_Moth",-79.1897,43.8223
"Gypsy_Moth",7.726,48.739
"Gypsy_Moth",-81.44243,42.60595
"Gypsy_Moth",65.5,56.49
"Gypsy_Moth",106.83139,27.19444
"Gypsy_Moth",65.5,56.49
"Gypsy_Moth",60.3,54.75
"Gypsy_Moth",119.94556,47.17389
"Gypsy_Moth",-2.51797,37.97791
"Gypsy_Moth",-80.226,43.53
"Gypsy_Moth",-79.8744,44.8515
"Gypsy_Moth",0.999,46.878
"Gypsy_Moth",-79.1897,43.8223
"Gypsy_Moth",36.17972,36.36667
"Gypsy_Moth",-73.505,40.871
"Gypsy_Moth",-80.69829,44.63367
"Gypsy_Moth",67.45,56.3
"Gypsy_Moth",139.23,35.63
"Gypsy_Moth",65.5,56.49
"Gypsy_Moth",91.18,54.29972
"Gypsy_Moth",136.218,36.064
"Gypsy_Moth",-80.226,43.53
"Gypsy_Moth",-0.782,46.212
"Gypsy_Moth",-73.557,40.859
"Gypsy_Moth",11.5452,48.25741
"Gypsy_Moth",-80.267,43.575
"Gypsy_Moth",16.583,47.85
"Gypsy_Moth",-73.557,40.859
"Gypsy_Moth",-80.14,43.54
"Gypsy_Moth",115.36667,41.2
"Gypsy_Moth",75.53,55.1
"Gypsy_Moth",81.13,54.34
"Gypsy_Moth",119.94556,47.17389
"Gypsy_Moth",141.374,40.687
"Gypsy_Moth",23.946022,55.294373
"Gypsy_Moth",75.53,55.1
"Gypsy_Moth",65.42,56.42
"Gypsy_Moth",21.06,55.31
"Gypsy_Moth",-80.226,43.53
"Gypsy_Moth",-71.333,42.083
"Gypsy_Moth",-80.267,43.575
"Gypsy_Moth",-80.36524,43.37363
"Gypsy_Moth",68.23,55.48
"Gypsy_Moth",16.945,48.69
"Gypsy_Moth",72.53,55.13
"Gypsy_Moth",118.24694,41.61889
"Gypsy_Moth",-80.226,43.53
"Gypsy_Moth",72.95,41.9
"Gypsy_Moth",90,54.683
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",16.667,48.083
"Gypsy_Moth",133.25,44.167
"Gypsy_Moth",-79.8744,44.8515
"Gypsy_Moth",-79.27376,43.11288
"Gypsy_Moth",23.053,59.7996
"Gypsy_Moth",69.13,56.03
"Gypsy_Moth",122.37417,41.50917
"Gypsy_Moth",37.618,55.756
"Gypsy_Moth",68.23,55.48
"Gypsy_Moth",60.3,54.75
"Gypsy_Moth",-80.134,43.537
"Gypsy_Moth",112.125,40.61306
"Gypsy_Moth",9.082,49.121
"Gypsy_Moth",-64.9556,45.5894
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",9.231,49.137
"Gypsy_Moth",-80.386,43.195
"Gypsy_Moth",65.42,56.42
"Gypsy_Moth",24.25,41
"Gypsy_Moth",135.125,48.422
"Gypsy_Moth",75.53,55.1
"Gypsy_Moth",139.23,35.63
"Gypsy_Moth",140.28,36.222
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",-79.917,39.617
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",9.082,49.121
"Gypsy_Moth",11.3,46.428
"Gypsy_Moth",-80.69829,44.63367
"Gypsy_Moth",-80.386,43.195
"Gypsy_Moth",137.46935,36.767387
"Gypsy_Moth",68.23,55.48
"Gypsy_Moth",126.61056,45.77917
"Gypsy_Moth",132.771,43.167
"Gypsy_Moth",65.42,56.42
"Gypsy_Moth",6,43.5
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",-80.283,43.593
"Gypsy_Moth",11.197,46.286
"Gypsy_Moth",8.533,49.6
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",141.5,43
"Gypsy_Moth",-80.69829,44.63367
"Gypsy_Moth",-80.69829,44.63367
"Gypsy_Moth",-80.36524,43.37363
"Gypsy_Moth",65.5,56.49
"Gypsy_Moth",122.37417,41.50917
"Gypsy_Moth",-80.36,43.609
"Gypsy_Moth",75.53,55.1
"Gypsy_Moth",81.15,54.29
"Gypsy_Moth",91.18,54.29972
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",-75.95,36.3
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",8.566,49.654
"Gypsy_Moth",-79.8744,44.8515
"Gypsy_Moth",-81.44243,42.60595
"Gypsy_Moth",65.5,56.49
"Gypsy_Moth",91.18,54.29972
"Gypsy_Moth",-79.1897,43.8223
"Gypsy_Moth",76.49,55.24
"Gypsy_Moth",81.13,54.34
"Gypsy_Moth",24.25,41
"Gypsy_Moth",20.018,48.344
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",-73,41.417
"Gypsy_Moth",-76.553,44.563
"Gypsy_Moth",14.468,44.529
"Gypsy_Moth",-79.137,43.808
"Gypsy_Moth",-79.162,43.811
"Gypsy_Moth",65.42,56.42
"Gypsy_Moth",116.15306,40.3225
