"species","dd long","dd lat"
"Japanese_Oak_Wilt",129.38503962,34.316057674
"Japanese_Oak_Wilt",128.88503962,32.816057674
"Japanese_Oak_Wilt",130.88503962,31.316057674
"Japanese_Oak_Wilt",130.88503962,31.566057674
"Japanese_Oak_Wilt",130.63503962,30.316057674
"Japanese_Oak_Wilt",132.38503962,35.066057674
"Japanese_Oak_Wilt",132.63503962,35.066057674
"Japanese_Oak_Wilt",132.13503962,34.816057674
"Japanese_Oak_Wilt",132.38503962,34.816057674
"Japanese_Oak_Wilt",131.88503962,34.566057674
"Japanese_Oak_Wilt",136.63503962,34.316057674
"Japanese_Oak_Wilt",136.88503962,34.316057674
"Japanese_Oak_Wilt",135.63503962,34.066057674
"Japanese_Oak_Wilt",135.88503962,34.066057674
"Japanese_Oak_Wilt",136.13503962,34.066057674
"Japanese_Oak_Wilt",135.88503962,33.816057674
"Japanese_Oak_Wilt",135.63503962,33.566057674
"Japanese_Oak_Wilt",137.88503962,35.316057674
"Japanese_Oak_Wilt",138.38503962,38.066057674
"Japanese_Oak_Wilt",136.88503962,37.066057674
"Japanese_Oak_Wilt",133.13503962,36.066057674
"Japanese_Oak_Wilt",136.88503962,35.066057674
"Japanese_Oak_Wilt",138.88503962,37.816057674
"Japanese_Oak_Wilt",139.38503962,37.816057674
"Japanese_Oak_Wilt",139.63503962,37.816057674
"Japanese_Oak_Wilt",139.88503962,37.816057674
"Japanese_Oak_Wilt",140.13503962,37.816057674
"Japanese_Oak_Wilt",138.88503962,37.566057674
"Japanese_Oak_Wilt",139.13503962,37.566057674
"Japanese_Oak_Wilt",139.38503962,37.566057674
"Japanese_Oak_Wilt",139.63503962,37.566057674
"Japanese_Oak_Wilt",139.88503962,37.566057674
"Japanese_Oak_Wilt",140.13503962,37.566057674
"Japanese_Oak_Wilt",138.63503962,37.316057674
"Japanese_Oak_Wilt",138.88503962,37.316057674
"Japanese_Oak_Wilt",139.13503962,37.316057674
"Japanese_Oak_Wilt",138.13503962,37.066057674
"Japanese_Oak_Wilt",138.38503962,37.066057674
"Japanese_Oak_Wilt",138.63503962,37.066057674
"Japanese_Oak_Wilt",138.88503962,37.066057674
"Japanese_Oak_Wilt",139.13503962,37.066057674
"Japanese_Oak_Wilt",136.88503962,36.816057674
"Japanese_Oak_Wilt",137.63503962,36.816057674
"Japanese_Oak_Wilt",137.88503962,36.816057674
"Japanese_Oak_Wilt",138.13503962,36.816057674
"Japanese_Oak_Wilt",136.63503962,36.566057674
"Japanese_Oak_Wilt",136.88503962,36.566057674
"Japanese_Oak_Wilt",137.13503962,36.566057674
"Japanese_Oak_Wilt",137.38503962,36.566057674
"Japanese_Oak_Wilt",137.63503962,36.566057674
"Japanese_Oak_Wilt",136.38503962,36.316057674
"Japanese_Oak_Wilt",136.63503962,36.316057674
"Japanese_Oak_Wilt",136.88503962,36.316057674
"Japanese_Oak_Wilt",137.13503962,36.316057674
"Japanese_Oak_Wilt",137.38503962,36.316057674
"Japanese_Oak_Wilt",136.13503962,36.066057674
"Japanese_Oak_Wilt",136.38503962,36.066057674
"Japanese_Oak_Wilt",136.63503962,36.066057674
"Japanese_Oak_Wilt",136.13503962,35.816057674
"Japanese_Oak_Wilt",136.38503962,35.816057674
"Japanese_Oak_Wilt",136.63503962,35.816057674
"Japanese_Oak_Wilt",136.88503962,35.816057674
"Japanese_Oak_Wilt",137.13503962,35.816057674
"Japanese_Oak_Wilt",134.38503962,35.566057674
"Japanese_Oak_Wilt",134.63503962,35.566057674
"Japanese_Oak_Wilt",134.88503962,35.566057674
"Japanese_Oak_Wilt",135.13503962,35.566057674
"Japanese_Oak_Wilt",135.88503962,35.566057674
"Japanese_Oak_Wilt",136.13503962,35.566057674
"Japanese_Oak_Wilt",136.38503962,35.566057674
"Japanese_Oak_Wilt",136.63503962,35.566057674
"Japanese_Oak_Wilt",136.88503962,35.566057674
"Japanese_Oak_Wilt",133.63503962,35.316057674
"Japanese_Oak_Wilt",133.88503962,35.316057674
"Japanese_Oak_Wilt",134.13503962,35.316057674
"Japanese_Oak_Wilt",134.38503962,35.316057674
"Japanese_Oak_Wilt",134.63503962,35.316057674
"Japanese_Oak_Wilt",134.88503962,35.316057674
"Japanese_Oak_Wilt",135.13503962,35.316057674
"Japanese_Oak_Wilt",135.38503962,35.316057674
"Japanese_Oak_Wilt",135.63503962,35.316057674
"Japanese_Oak_Wilt",135.88503962,35.316057674
"Japanese_Oak_Wilt",136.38503962,35.316057674
"Japanese_Oak_Wilt",139.88503962,39.066057674
"Japanese_Oak_Wilt",139.88503962,38.816057674
"Japanese_Oak_Wilt",140.13503962,38.816057674
"Japanese_Oak_Wilt",140.38503962,38.816057674
"Japanese_Oak_Wilt",140.63503962,38.816057674
"Japanese_Oak_Wilt",139.63503962,38.566057674
"Japanese_Oak_Wilt",139.88503962,38.566057674
"Japanese_Oak_Wilt",140.13503962,38.566057674
"Japanese_Oak_Wilt",140.38503962,38.566057674
"Japanese_Oak_Wilt",139.63503962,38.316057674
"Japanese_Oak_Wilt",139.88503962,38.316057674
"Japanese_Oak_Wilt",140.13503962,38.316057674
"Japanese_Oak_Wilt",139.38503962,38.066057674
"Japanese_Oak_Wilt",139.63503962,38.066057674
"Japanese_Oak_Wilt",139.88503962,38.066057674
"Japanese_Oak_Wilt",140.13503962,38.066057674
"Japanese_Oak_Wilt",140.38503962,38.066057674
