"species","dd long","dd lat"
"Dutch_Elm_Disease",-113.708907945,47.414931521
"Dutch_Elm_Disease",-113.458907945,47.414931521
"Dutch_Elm_Disease",-114.458907945,47.164931521
"Dutch_Elm_Disease",-113.708907945,47.164931521
"Dutch_Elm_Disease",-113.458907945,47.164931521
"Dutch_Elm_Disease",-114.458907945,46.914931521
"Dutch_Elm_Disease",-114.208907945,46.914931521
"Dutch_Elm_Disease",-113.958907945,46.914931521
"Dutch_Elm_Disease",-113.708907945,46.914931521
"Dutch_Elm_Disease",-113.458907945,46.914931521
"Dutch_Elm_Disease",-114.458907945,46.664931521
"Dutch_Elm_Disease",-114.208907945,46.664931521
"Dutch_Elm_Disease",-113.958907945,46.664931521
"Dutch_Elm_Disease",-113.708907945,46.664931521
"Dutch_Elm_Disease",-100.708907945,47.164931521
"Dutch_Elm_Disease",-100.458907945,47.164931521
"Dutch_Elm_Disease",-100.208907945,47.164931521
"Dutch_Elm_Disease",-101.958907945,46.914931521
"Dutch_Elm_Disease",-101.708907945,46.914931521
"Dutch_Elm_Disease",-101.458907945,46.914931521
"Dutch_Elm_Disease",-101.208907945,46.914931521
"Dutch_Elm_Disease",-100.958907945,46.914931521
"Dutch_Elm_Disease",-100.708907945,46.914931521
"Dutch_Elm_Disease",-100.458907945,46.914931521
"Dutch_Elm_Disease",-100.208907945,46.914931521
"Dutch_Elm_Disease",-101.458907945,46.664931521
"Dutch_Elm_Disease",-101.208907945,46.664931521
"Dutch_Elm_Disease",-100.958907945,46.664931521
"Dutch_Elm_Disease",-100.708907945,46.664931521
"Dutch_Elm_Disease",-100.458907945,46.664931521
"Dutch_Elm_Disease",-100.208907945,46.664931521
"Dutch_Elm_Disease",-100.958907945,46.414931521
"Dutch_Elm_Disease",-100.708907945,46.414931521
"Dutch_Elm_Disease",-118.458907945,46.414931521
"Dutch_Elm_Disease",-118.958907945,46.164931521
"Dutch_Elm_Disease",-118.708907945,46.164931521
"Dutch_Elm_Disease",-118.458907945,46.164931521
"Dutch_Elm_Disease",-118.208907945,46.164931521
"Dutch_Elm_Disease",-88.708907945,44.164931521
"Dutch_Elm_Disease",-88.958907945,43.914931521
"Dutch_Elm_Disease",-88.708907945,43.914931521
"Dutch_Elm_Disease",-98.958907945,43.414931521
"Dutch_Elm_Disease",-98.708907945,43.414931521
"Dutch_Elm_Disease",-98.708907945,43.164931521
"Dutch_Elm_Disease",-98.458907945,43.164931521
"Dutch_Elm_Disease",-98.208907945,43.164931521
"Dutch_Elm_Disease",-98.208907945,42.914931521
"Dutch_Elm_Disease",-116.958907945,44.664931521
"Dutch_Elm_Disease",-116.708907945,44.664931521
"Dutch_Elm_Disease",-117.708907945,44.414931521
"Dutch_Elm_Disease",-116.958907945,44.414931521
"Dutch_Elm_Disease",-116.708907945,44.414931521
"Dutch_Elm_Disease",-116.458907945,44.414931521
"Dutch_Elm_Disease",-116.208907945,44.414931521
"Dutch_Elm_Disease",-117.958907945,44.164931521
"Dutch_Elm_Disease",-117.708907945,44.164931521
"Dutch_Elm_Disease",-117.458907945,44.164931521
"Dutch_Elm_Disease",-117.208907945,44.164931521
"Dutch_Elm_Disease",-116.958907945,44.164931521
"Dutch_Elm_Disease",-116.708907945,44.164931521
"Dutch_Elm_Disease",-116.458907945,44.164931521
"Dutch_Elm_Disease",-117.958907945,43.914931521
"Dutch_Elm_Disease",-117.708907945,43.914931521
"Dutch_Elm_Disease",-117.458907945,43.914931521
"Dutch_Elm_Disease",-117.208907945,43.914931521
"Dutch_Elm_Disease",-116.958907945,43.914931521
"Dutch_Elm_Disease",-116.708907945,43.914931521
"Dutch_Elm_Disease",-116.458907945,43.914931521
"Dutch_Elm_Disease",-115.208907945,43.914931521
"Dutch_Elm_Disease",-117.958907945,43.664931521
"Dutch_Elm_Disease",-117.708907945,43.664931521
"Dutch_Elm_Disease",-117.458907945,43.664931521
"Dutch_Elm_Disease",-117.208907945,43.664931521
"Dutch_Elm_Disease",-116.958907945,43.664931521
"Dutch_Elm_Disease",-116.708907945,43.664931521
"Dutch_Elm_Disease",-116.458907945,43.664931521
"Dutch_Elm_Disease",-116.208907945,43.664931521
"Dutch_Elm_Disease",-115.458907945,43.664931521
"Dutch_Elm_Disease",-115.208907945,43.664931521
"Dutch_Elm_Disease",-117.958907945,43.414931521
"Dutch_Elm_Disease",-117.708907945,43.414931521
"Dutch_Elm_Disease",-117.458907945,43.414931521
"Dutch_Elm_Disease",-117.208907945,43.414931521
"Dutch_Elm_Disease",-116.458907945,43.414931521
"Dutch_Elm_Disease",-116.208907945,43.414931521
"Dutch_Elm_Disease",-115.958907945,43.414931521
"Dutch_Elm_Disease",-115.708907945,43.414931521
"Dutch_Elm_Disease",-115.458907945,43.414931521
"Dutch_Elm_Disease",-115.208907945,43.414931521
"Dutch_Elm_Disease",-117.958907945,43.164931521
"Dutch_Elm_Disease",-117.708907945,43.164931521
"Dutch_Elm_Disease",-117.458907945,43.164931521
"Dutch_Elm_Disease",-117.208907945,43.164931521
"Dutch_Elm_Disease",-116.208907945,43.164931521
"Dutch_Elm_Disease",-115.958907945,43.164931521
"Dutch_Elm_Disease",-115.708907945,43.164931521
"Dutch_Elm_Disease",-115.458907945,43.164931521
"Dutch_Elm_Disease",-115.208907945,43.164931521
"Dutch_Elm_Disease",-117.958907945,42.914931521
"Dutch_Elm_Disease",-117.708907945,42.914931521
"Dutch_Elm_Disease",-117.458907945,42.914931521
"Dutch_Elm_Disease",-117.208907945,42.914931521
"Dutch_Elm_Disease",-115.208907945,42.914931521
"Dutch_Elm_Disease",-117.958907945,42.664931521
"Dutch_Elm_Disease",-117.708907945,42.664931521
"Dutch_Elm_Disease",-117.458907945,42.664931521
"Dutch_Elm_Disease",-117.208907945,42.664931521
"Dutch_Elm_Disease",-114.958907945,42.664931521
"Dutch_Elm_Disease",-114.708907945,42.664931521
"Dutch_Elm_Disease",-117.958907945,42.414931521
"Dutch_Elm_Disease",-117.708907945,42.414931521
"Dutch_Elm_Disease",-117.458907945,42.414931521
"Dutch_Elm_Disease",-117.208907945,42.414931521
"Dutch_Elm_Disease",-114.958907945,42.414931521
"Dutch_Elm_Disease",-114.708907945,42.414931521
"Dutch_Elm_Disease",-114.458907945,42.414931521
"Dutch_Elm_Disease",-117.958907945,42.164931521
"Dutch_Elm_Disease",-117.708907945,42.164931521
"Dutch_Elm_Disease",-117.458907945,42.164931521
"Dutch_Elm_Disease",-117.208907945,42.164931521
"Dutch_Elm_Disease",-114.958907945,42.164931521
"Dutch_Elm_Disease",-114.708907945,42.164931521
"Dutch_Elm_Disease",-114.458907945,42.164931521
"Dutch_Elm_Disease",-70.708907945,41.414931521
"Dutch_Elm_Disease",-101.958907945,41.164931521
"Dutch_Elm_Disease",-101.708907945,41.164931521
"Dutch_Elm_Disease",-101.458907945,41.164931521
"Dutch_Elm_Disease",-73.958907945,40.914931521
"Dutch_Elm_Disease",-73.208907945,40.914931521
"Dutch_Elm_Disease",-72.958907945,40.914931521
"Dutch_Elm_Disease",-72.708907945,40.914931521
"Dutch_Elm_Disease",-72.458907945,40.914931521
"Dutch_Elm_Disease",-73.958907945,40.664931521
"Dutch_Elm_Disease",-73.458907945,40.664931521
"Dutch_Elm_Disease",-73.208907945,40.664931521
"Dutch_Elm_Disease",-113.958907945,41.914931521
"Dutch_Elm_Disease",-113.708907945,41.914931521
"Dutch_Elm_Disease",-113.458907945,41.914931521
"Dutch_Elm_Disease",-113.208907945,41.914931521
"Dutch_Elm_Disease",-112.958907945,41.914931521
"Dutch_Elm_Disease",-112.708907945,41.914931521
"Dutch_Elm_Disease",-112.458907945,41.914931521
"Dutch_Elm_Disease",-112.208907945,41.914931521
"Dutch_Elm_Disease",-111.958907945,41.914931521
"Dutch_Elm_Disease",-111.708907945,41.914931521
"Dutch_Elm_Disease",-113.958907945,41.664931521
"Dutch_Elm_Disease",-113.708907945,41.664931521
"Dutch_Elm_Disease",-113.458907945,41.664931521
