"species","dd long","dd lat"
"Pine_Processionary_Moth",3.08675,45.83309
"Pine_Processionary_Moth",0.17,46.6
"Pine_Processionary_Moth",3.31215,43.72173
"Pine_Processionary_Moth",4.91442,47.43181
"Pine_Processionary_Moth",3.17948,45.77455
"Pine_Processionary_Moth",8.82936,42.29747
"Pine_Processionary_Moth",-1.22935,45.83572
"Pine_Processionary_Moth",-8.855,39.469
"Pine_Processionary_Moth",2.47,44.48
"Pine_Processionary_Moth",14.8359,42.0414
"Pine_Processionary_Moth",-1.02409,46.20629
"Pine_Processionary_Moth",7.071,45.038
"Pine_Processionary_Moth",16.1256,39.4072
"Pine_Processionary_Moth",11.74,45.27
"Pine_Processionary_Moth",-0.9666,39.8666
"Pine_Processionary_Moth",10.975,46.653
"Pine_Processionary_Moth",-8.95,39.83
"Pine_Processionary_Moth",1.36,44.58
"Pine_Processionary_Moth",10.8,46.63
"Pine_Processionary_Moth",-2.11,37.7
"Pine_Processionary_Moth",2.06,41.89
"Pine_Processionary_Moth",14.8359,42.0414
"Pine_Processionary_Moth",3.72,43.45
"Pine_Processionary_Moth",7.05,45.15
"Pine_Processionary_Moth",-1.78,42.74
"Pine_Processionary_Moth",16.3339,38.555
"Pine_Processionary_Moth",3.17,43.61
"Pine_Processionary_Moth",10.77,46.61
"Pine_Processionary_Moth",-8.960707,37.05123
"Pine_Processionary_Moth",15.9926,39.8425
"Pine_Processionary_Moth",2.06,41.89
"Pine_Processionary_Moth",14.162,42.026
"Pine_Processionary_Moth",22.383,38.144
"Pine_Processionary_Moth",13.697,46.573
"Pine_Processionary_Moth",16.6647,39.2379
"Pine_Processionary_Moth",-0.472774,39.647
"Pine_Processionary_Moth",-7.4,37.32
"Pine_Processionary_Moth",-0.9666,39.8666
"Pine_Processionary_Moth",14.837,42.041
"Pine_Processionary_Moth",-7.9,40.66
"Pine_Processionary_Moth",16.4552,39.2129
"Pine_Processionary_Moth",14.6758,41.5736
"Pine_Processionary_Moth",0.04,42.44
"Pine_Processionary_Moth",-1.837309,40.28351
"Pine_Processionary_Moth",-1.18,40.7
"Pine_Processionary_Moth",22.18,37.38
"Pine_Processionary_Moth",0.71,42.45
"Pine_Processionary_Moth",-6.933055,41.909286
"Pine_Processionary_Moth",14.837,42.041
"Pine_Processionary_Moth",-5.56,37.23
"Pine_Processionary_Moth",13.2,46.4
"Pine_Processionary_Moth",14.3954,41.4656
"Pine_Processionary_Moth",22.18,37.38
"Pine_Processionary_Moth",14.6758,41.5736
"Pine_Processionary_Moth",11.3,46.428
"Pine_Processionary_Moth",22.59,37.28
"Pine_Processionary_Moth",14.3954,41.4656
"Pine_Processionary_Moth",22.383,38.144
"Pine_Processionary_Moth",-0.472774,39.647
"Pine_Processionary_Moth",-5.35,36.13
"Pine_Processionary_Moth",22.6,37.86
"Pine_Processionary_Moth",15.9003,38.1262
"Pine_Processionary_Moth",0.71,42.45
"Pine_Processionary_Moth",2.47,44.48
"Pine_Processionary_Moth",-1.18,40.7
"Pine_Processionary_Moth",-8.52,38.38
"Pine_Processionary_Moth",23.29,41.57
"Pine_Processionary_Moth",16.5913,39.2928
"Pine_Processionary_Moth",11.4459,46.3021
"Pine_Processionary_Moth",-1.84151,40.3553
"Pine_Processionary_Moth",-0.78,44.75
"Pine_Processionary_Moth",-0.78,44.75
"Pine_Processionary_Moth",6.85,45.05
"Pine_Processionary_Moth",16.0864,38.7547
"Pine_Processionary_Moth",0.71,42.45
"Pine_Processionary_Moth",2.47,44.48
"Pine_Processionary_Moth",-0.9666,39.8666
"Pine_Processionary_Moth",7.05,45.15
"Pine_Processionary_Moth",15.1008,37.7003
"Pine_Processionary_Moth",16.125,39.4096
"Pine_Processionary_Moth",15.9003,38.1262
"Pine_Processionary_Moth",14.95,37.966667
"Pine_Processionary_Moth",-0.9666,39.8666
"Pine_Processionary_Moth",3.17,43.61
"Pine_Processionary_Moth",-1.2253,45.83295
"Pine_Processionary_Moth",-1.18891,45.83704
"Pine_Processionary_Moth",-1.13585,46.1561
"Pine_Processionary_Moth",1.52921,45.24104
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",3.56327,43.84456
"Pine_Processionary_Moth",1.39014,43.58455
"Pine_Processionary_Moth",1.3189,43.88806
"Pine_Processionary_Moth",1.36339,43.92001
"Pine_Processionary_Moth",1.66841,42.99138
"Pine_Processionary_Moth",1.86818,42.97559
"Pine_Processionary_Moth",1.44225,43.3166
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",1.75371,42.96637
"Pine_Processionary_Moth",2.30168,42.61938
"Pine_Processionary_Moth",3.19604,44.20356
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",0.35561,43.09994
"Pine_Processionary_Moth",3.63722,43.64647
"Pine_Processionary_Moth",3.21576,44.05829
"Pine_Processionary_Moth",1.59898,42.81564
"Pine_Processionary_Moth",2.08268,42.46947
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",0.35565,43.09994
"Pine_Processionary_Moth",1.8682,42.97551
"Pine_Processionary_Moth",0.65004,43.909
"Pine_Processionary_Moth",3.56327,43.84456
"Pine_Processionary_Moth",1.40363,43.77693
"Pine_Processionary_Moth",1.59125,42.96345
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",1.38964,43.64043
"Pine_Processionary_Moth",0.7124,42.96966
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",3.07309,43.11655
"Pine_Processionary_Moth",1.31878,44.55734
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",3.54205,43.77847
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",2.43971,42.71893
"Pine_Processionary_Moth",1.75734,42.96125
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.86818,42.97559
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",1.61779,42.94654
"Pine_Processionary_Moth",0.05297,42.75142
"Pine_Processionary_Moth",1.38964,43.64043
"Pine_Processionary_Moth",2.3591,43.29346
"Pine_Processionary_Moth",1.35711,43.07182
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",1.66841,42.99138
"Pine_Processionary_Moth",1.75734,42.96125
"Pine_Processionary_Moth",1.35167,43.19942
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",1.8682,42.97551
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",2.43971,42.71893
"Pine_Processionary_Moth",1.57124,42.9475
"Pine_Processionary_Moth",3.05958,44.22364
"Pine_Processionary_Moth",1.53895,43.02533
"Pine_Processionary_Moth",1.40363,43.77693
"Pine_Processionary_Moth",2.01205,42.94124
"Pine_Processionary_Moth",1.81241,42.8184
"Pine_Processionary_Moth",1.64955,42.88746
"Pine_Processionary_Moth",2.67827,44.73655
"Pine_Processionary_Moth",1.85088,42.76675
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",3.07309,43.11655
"Pine_Processionary_Moth",2.68127,44.39925
"Pine_Processionary_Moth",1.96658,43.02395
"Pine_Processionary_Moth",3.56327,43.84456
"Pine_Processionary_Moth",3.54858,43.74515
"Pine_Processionary_Moth",2.25805,42.63275
"Pine_Processionary_Moth",0.7124,42.96966
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.85141,42.76669
"Pine_Processionary_Moth",-0.06373,43.04293
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.36339,43.92001
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",2.74199,44.8299
"Pine_Processionary_Moth",1.90571,42.95479
"Pine_Processionary_Moth",1.31878,44.55734
"Pine_Processionary_Moth",1.57124,42.9475
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",1.85141,42.76669
"Pine_Processionary_Moth",0.6936,42.99081
"Pine_Processionary_Moth",1.28177,43.89798
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",2.93076,42.83393
"Pine_Processionary_Moth",1.28591,43.82154
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",1.26583,43.66592
"Pine_Processionary_Moth",1.40363,43.77693
"Pine_Processionary_Moth",1.86072,44.33378
"Pine_Processionary_Moth",1.63879,42.85203
"Pine_Processionary_Moth",1.86818,42.97559
"Pine_Processionary_Moth",2.18073,42.57673
"Pine_Processionary_Moth",1.29924,43.55052
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",2.22838,42.81565
"Pine_Processionary_Moth",2.05171,42.84732
"Pine_Processionary_Moth",1.66841,42.99138
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",2.22859,42.81569
"Pine_Processionary_Moth",1.38962,43.64043
"Pine_Processionary_Moth",2.05171,42.84732
"Pine_Processionary_Moth",1.40358,43.77715
"Pine_Processionary_Moth",1.31886,43.92086
"Pine_Processionary_Moth",1.60023,42.96855
"Pine_Processionary_Moth",1.42442,43.01128
"Pine_Processionary_Moth",1.75723,42.9613
"Pine_Processionary_Moth",2.05171,42.84732
"Pine_Processionary_Moth",3.56327,43.84456
"Pine_Processionary_Moth",1.46929,43.55754
"Pine_Processionary_Moth",1.28858,43.80422
"Pine_Processionary_Moth",1.0864,42.95842
"Pine_Processionary_Moth",1.29924,43.55052
"Pine_Processionary_Moth",1.53895,43.02533
"Pine_Processionary_Moth",0.63319,42.99022
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",2.98089,43.97519
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.36339,43.92001
"Pine_Processionary_Moth",1.40356,43.77694
"Pine_Processionary_Moth",1.75371,42.96637
"Pine_Processionary_Moth",3.10391,42.50554
"Pine_Processionary_Moth",1.31878,44.55734
"Pine_Processionary_Moth",1.42442,43.01128
"Pine_Processionary_Moth",2.36388,43.29371
"Pine_Processionary_Moth",1.53895,43.02533
"Pine_Processionary_Moth",1.4036,43.77695
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.40363,43.77693
"Pine_Processionary_Moth",0.65477,43.03913
"Pine_Processionary_Moth",1.81554,42.56933
"Pine_Processionary_Moth",-0.74159,44.88677
"Pine_Processionary_Moth",-1.24339,44.5481
"Pine_Processionary_Moth",15.4965,43.90935
"Pine_Processionary_Moth",22.54299,40.12394
"Pine_Processionary_Moth",5.40342,45.92161
"Pine_Processionary_Moth",3.4044,46.68099
